distance,within_mean,across_mean,gap,n_within,n_across,method
1,0.6269356054564317,0.5683231492340565,0.05861245622237521,480,200,HMM
2,0.6104259236937477,0.5782207605739434,0.03220516311980426,420,240,HMM
3,0.6302198689717513,0.5612912574881002,0.06892861148365115,260,380,HMM
4,0.6175660142844374,0.559246925637126,0.05831908864731139,220,400,HMM
5,0.6435916632413864,0.547224184287631,0.09636747895375541,140,460,HMM
6,0.646428918838501,0.542051021495591,0.10437789734290992,120,460,HMM
7,0.6508582377433777,0.5318706281807112,0.11898760956266652,100,460,HMM
8,0.650390138477087,0.5226036379518716,0.12778650052521545,80,460,HMM
9,0.6502851784229279,0.5164142856779306,0.1338708927449973,60,460,HMM
10,0.64929329007864,0.5106774166226387,0.13861587345600135,40,460,HMM
11,0.6401555478572846,0.5050307498030041,0.13512479805428046,20,460,HMM
12,,0.5022938158849012,,0,460,HMM
13,,0.492435205524618,,0,440,HMM
14,,0.4816691180070241,,0,420,HMM
15,,0.47661102704703806,,0,400,HMM
16,,0.4708198626574717,,0,380,HMM
17,,0.4643685924510161,,0,360,HMM
18,,0.45799345505588196,,0,340,HMM
19,,0.44952628230676056,,0,320,HMM
20,,0.4423759400844574,,0,300,HMM
21,,0.43539760751383644,,0,280,HMM
22,,0.4274944323759813,,0,260,HMM
23,,0.4196995339045922,,0,240,HMM
24,,0.4190354356711561,,0,220,HMM
25,,0.4141597262024879,,0,200,HMM
26,,0.41140433715449437,,0,180,HMM
27,,0.4047050580382347,,0,160,HMM
28,,0.3971754312515259,,0,140,HMM
29,,0.3930807669957479,,0,120,HMM
30,,0.3848960962891579,,0,100,HMM
31,,0.3768488269299269,,0,80,HMM
32,,0.3742926528056463,,0,60,HMM
33,,0.369678571075201,,0,40,HMM
34,,0.33000341802835464,,0,20,HMM
1,0.6124679957826932,0.5990071624517441,0.013460833330949051,540,140,equal_duration
2,0.603546677608239,0.592157617849963,0.011389059758275977,380,280,equal_duration
3,0.5933108098127625,0.5871892038555372,0.006121605957225329,220,420,equal_duration
4,0.6002585619688035,0.5777638922844615,0.022494669684341995,60,560,equal_duration
5,,0.5697099293768406,,0,600,equal_duration
6,,0.5636464485320551,,0,580,equal_duration
7,,0.5531184156026159,,0,560,equal_duration
8,,0.5415349713630146,,0,540,equal_duration
9,,0.5318609271485072,,0,520,equal_duration
10,,0.5217666864991188,,0,500,equal_duration
11,,0.5106609497219324,,0,480,equal_duration
12,,0.5022938158849012,,0,460,equal_duration
13,,0.492435205524618,,0,440,equal_duration
14,,0.4816691180070241,,0,420,equal_duration
15,,0.47661102704703806,,0,400,equal_duration
16,,0.4708198626574717,,0,380,equal_duration
17,,0.4643685924510161,,0,360,equal_duration
18,,0.45799345505588196,,0,340,equal_duration
19,,0.44952628230676056,,0,320,equal_duration
20,,0.4423759400844574,,0,300,equal_duration
21,,0.43539760751383644,,0,280,equal_duration
22,,0.4274944323759813,,0,260,equal_duration
23,,0.4196995339045922,,0,240,equal_duration
24,,0.4190354356711561,,0,220,equal_duration
25,,0.4141597262024879,,0,200,equal_duration
26,,0.41140433715449437,,0,180,equal_duration
27,,0.4047050580382347,,0,160,equal_duration
28,,0.3971754312515259,,0,140,equal_duration
29,,0.3930807669957479,,0,120,equal_duration
30,,0.3848960962891579,,0,100,equal_duration
31,,0.3768488269299269,,0,80,equal_duration
32,,0.3742926528056463,,0,60,equal_duration
33,,0.369678571075201,,0,40,equal_duration
34,,0.33000341802835464,,0,20,equal_duration
